county_fips,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_days_on_market_mm_day,median_days_on_market_yy,median_days_on_market_yy_day,median_days_on_market_vs_us,ldpviews_per_property_mm,ldpviews_per_property_yy,ldpviews_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us,quality_flag,year
36046,164,204,,,76,81,71,59,,,,,-20,,,1,145104,,,1,0,2016
37001,404,430,,,56,51,61,78,,,,,-1,,,1,188392,,,1,0,2016
50009,673,783,,,24,13,34,114,,,,,35,,,1,286887,,,1,0,2016
13129,943,388,,,60,58,62,74,,,,,-5,,,1,169892,,,1,0,2016
24037,582,808,,,23,31,15,91,,,,,12,,,1,287000,,,1,0,2016
39151,171,166,,,78,86,71,57,,,,,-22,,,1,134867,,,1,0,2016
12071,82,691,,,33,39,27,86,,,,,7,,,1,315719,,,1,0,2016
29031,701,801,,,24,40,7,84,,,,,5,,,0,161558,,,1,0,2016
17138,782,867,,,17,22,12,102,,,,,23,,,1,124921,,,0,0,2016
35015,892,739,,,29,32,26,90,,,,,11,,,1,166767,,,1,0,2016
32510,902,134,,,82,79,84,60,,,,,-19,,,1,352517,,,1,0,2016
56025,659,559,,,45,58,31,73,,,,,-6,,,1,229458,,,1,0,2016
19113,283,472,,,53,77,29,63,,,,,-16,,,1,184430,,,1,0,2016
53041,717,650,,,37,48,25,80,,,,,1,,,1,212900,,,1,0,2016
42055,415,621,,,39,23,56,97,,,,,18,,,1,196590,,,1,0,2016
17019,298,657,,,36,38,35,86,,,,,8,,,1,150433,,,1,0,2016
54039,308,613,,,40,32,49,90,,,,,11,,,1,143767,,,1,0,2016
17029,914,723,,,31,26,36,96,,,,,17,,,1,86458,,,0,0,2016
45023,307,499,,,50,50,51,80,,,,,1,,,1,340055,,,1,0,2016
38879,391,318,,,66,54,77,76,,,,,-2,,,1,290532,,,1,0,2016
51272,759,843,,,19,12,27,112,,,,,33,,,1,497373,,,2,0,2016
